last_name, first_name,player_id,year,b_home_run,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Cabrera, Miguel,408234,2021,7,.221,.375,.290,.281,.154,91.1,10.6,31.6,7.2,
Cruz Jr., Nelson,443558,2021,21,.280,.534,.388,.367,.254,93.6,10.9,32.1,14.5,
Peralta, David,444482,2021,4,.240,.347,.296,.316,.106,89.2,4.5,27,5.6,
Blackmon, Charlie,453568,2021,6,.288,.427,.356,.376,.138,87.6,8.7,29.9,5.5,
McCutchen, Andrew,457705,2021,17,.247,.441,.358,.368,.194,88.4,12.9,37,9.6,
Turner, Justin,457759,2021,18,.278,.483,.373,.372,.205,91,18.8,40.8,9,
Andrus, Elvis,462101,2021,2,.269,.376,.301,.310,.107,88,10,36.1,2.5,
Santana, Carlos,467793,2021,17,.241,.456,.354,.358,.215,90.3,14.2,29.1,8.4,
Lowrie, Jed,476704,2021,11,.264,.481,.349,.332,.216,91.1,16,38.6,10,
Brantley Jr., Michael,488726,2021,6,.325,.486,.379,.380,.161,89.9,10.5,41.5,6.5,
Gurriel, Yuli,493329,2021,10,.266,.372,.323,.346,.106,90.1,13.9,30.1,3.3,
Rojas, Miguel,500743,2021,5,.240,.336,.290,.307,.096,86.9,12.3,35.7,2,
Escobar, Eduardo,500871,2021,22,.245,.460,.326,.298,.215,87.6,20.3,36,9.9,
Pham, Tommy,502054,2021,11,.260,.451,.365,.375,.192,90.5,8,37.1,10.1,
Martinez, J.D.,502110,2021,20,.279,.516,.373,.354,.237,92.2,16.9,40.7,11.5,
Goldschmidt, Paul,502671,2021,17,.286,.543,.384,.355,.257,93,16.8,35.2,12.1,
Altuve, Jose,514888,2021,23,.260,.433,.344,.348,.173,88.5,15.4,31.6,7.7,
Hernandez, Cesar,514917,2021,17,.248,.416,.326,.323,.168,88.5,11.4,34.2,9.3,
Castro, Starlin,516770,2021,3,.270,.406,.323,.326,.136,88.4,9.2,33.9,5.4,
Donaldson, Josh,518626,2021,15,.265,.526,.382,.367,.261,94.2,13.2,27.4,17.8,
Freeman, Freddie,518692,2021,23,.315,.587,.421,.415,.272,92.8,13.3,37.1,12.7,
LeMahieu, DJ,518934,2021,7,.278,.392,.339,.362,.114,90.4,3.3,32.9,4.2,
Rizzo, Anthony,519203,2021,12,.259,.433,.348,.356,.174,91,14.2,32.5,9,
Stanton, Giancarlo,519317,2021,16,.245,.440,.343,.341,.195,95.6,8.5,28.4,13.9,
Perez, Salvador,521692,2021,23,.273,.535,.357,.305,.262,93,15.2,34.5,14.9,
Garcia, Avisail,541645,2021,17,.270,.484,.350,.330,.214,90.4,8.8,35.4,11.8,
Aguilar, Jesus,542583,2021,17,.273,.468,.344,.337,.195,90.8,17.8,36.7,8.9,
Crawford, Brandon,543063,2021,18,.264,.538,.375,.346,.274,89.9,16.1,38.9,15.2,
Cron, C.J.,543068,2021,14,.254,.459,.367,.369,.205,88.3,14.9,33.5,10.3,
Grossman, Robbie,543257,2021,15,.231,.404,.341,.358,.173,88.4,20,40.7,8.7,
Harrison, Josh,543281,2021,5,.273,.415,.339,.349,.141,87.5,15.4,41.4,3.9,
Hosmer, Eric,543333,2021,8,.271,.409,.328,.335,.138,91,3.5,24.4,5.6,
Semien, Marcus,543760,2021,24,.242,.442,.329,.314,.200,90.5,18.2,35.4,9.7,
Vazquez, Christian,543877,2021,4,.227,.331,.270,.277,.104,87,14.8,33.9,2.9,
Grichuk, Randal,545341,2021,18,.243,.425,.306,.274,.182,90.3,14.6,33.5,10.5,
Harper, Bryce,547180,2021,15,.293,.555,.405,.395,.261,91.4,12.3,37.5,16.5,
Abreu, Jose,547989,2021,18,.247,.456,.346,.335,.209,92.3,9.3,28.9,10.9,
Suarez, Eugenio,553993,2021,18,.204,.415,.308,.287,.210,87.5,18,28.6,13.7,
Urshela, Gio,570482,2021,11,.258,.445,.325,.303,.187,89.3,7.3,37.1,9,
Schoop, Jonathan,570731,2021,17,.255,.419,.317,.303,.163,88.3,10.1,27.3,9,
Arenado, Nolan,571448,2021,20,.257,.430,.318,.310,.172,89.1,21,36.9,7.4,
Haniger, Mitch,571745,2021,25,.263,.508,.358,.322,.244,89.5,14.1,33.9,12.9,
Hernandez, Enrique,571771,2021,14,.240,.436,.331,.320,.196,90.4,18.7,33.5,8.5,
Muncy, Max,571970,2021,22,.290,.595,.433,.428,.304,90.9,14,35.1,15.8,
Myers, Wil,571976,2021,12,.219,.381,.299,.300,.162,87.8,9.7,31,8.6,
Naquin, Tyler,571980,2021,13,.249,.435,.327,.314,.185,89.8,9.5,28.3,9,
Seager, Kyle,572122,2021,18,.223,.445,.320,.295,.222,89.6,19.4,34.6,12.2,
Taylor, Michael A.,572191,2021,8,.226,.356,.285,.286,.130,88.8,10.2,29.1,6.1,
Yastrzemski, Mike,573262,2021,16,.216,.418,.316,.311,.202,89.6,18.7,30.4,10.1,
Contreras, Willson,575929,2021,15,.235,.423,.343,.350,.188,90.7,9.6,28.8,8.8,
Iglesias, Jose,578428,2021,7,.277,.380,.303,.305,.103,85.8,9.6,34.9,4.1,
Bryant, Kris,592178,2021,17,.264,.449,.351,.351,.186,87.7,12.8,37.4,10.4,
Canha, Mark,592192,2021,11,.241,.413,.350,.369,.173,88.8,14.1,38.1,9,
Castellanos, Nick,592206,2021,18,.300,.516,.373,.357,.216,90.1,14.1,46.3,10,
Judge, Aaron,592450,2021,21,.318,.611,.432,.407,.293,95.8,10.2,41.7,19.7,
Machado, Manny,592518,2021,17,.278,.494,.370,.364,.217,93.6,14,34,12.8,
