last_name, first_name,player_id,year,b_ab,b_total_pa,b_home_run,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_game,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_miss_percent,oz_contact_percent,groundballs_percent,flyballs_percent,linedrives_percent,
Cabrera, Miguel,408234,2021,268,292,7,.243,.347,.298,.645,72,.219,.370,.285,.286,.278,.151,.350,.351,.335,.305,.024,-0.023,-0.001,90.8,10.2,29.9,14,7.2,3.1,48.5,68.2,20.9,41.8,58.2,50,24.2,21.6,
Cruz Jr., Nelson,443558,2021,288,336,19,.299,.545,.372,.917,83,.282,.539,.385,.392,.369,.257,.437,.447,.366,.358,.017,.006,-0.007,93.4,10.4,31.5,33,14,3.4,54,73.9,21.1,46.2,53.8,45.5,26,21.3,
Peralta, David,444482,2021,311,345,4,.254,.399,.328,.726,89,.242,.352,.316,.298,.317,.110,.334,.310,.306,.291,.012,.047,.018,89.2,4.8,27.5,15,5.8,3.9,41.1,65.7,13.7,41,58.4,53.5,14.7,24.8,
Blackmon, Charlie,453568,2021,291,336,5,.261,.364,.357,.721,86,.284,.419,.330,.354,.376,.135,.324,.357,.313,.333,-0.016,-0.043,-0.024,87.5,7.7,29.4,14,5.6,6,40.9,67,13.1,31.2,68.1,51.2,22.2,21.8,
McCutchen, Andrew,457705,2021,288,353,16,.229,.441,.351,.792,86,.247,.445,.344,.360,.370,.198,.375,.402,.304,.335,-0.018,-0.004,-0.016,88.4,12.1,35.9,21,9.7,4.1,38.2,62.4,19.4,47.8,51.5,45.2,28.1,20.7,
Turner, Justin,457759,2021,323,373,17,.307,.514,.394,.908,88,.281,.489,.390,.376,.374,.208,.430,.411,.377,.352,.023,.023,.014,91.3,18.2,41.2,24,9.2,0.8,45,66.8,14.3,34.8,65.2,35.8,31.9,26.2,
Andrus, Elvis,462101,2021,325,347,2,.231,.314,.271,.585,93,.272,.383,.255,.304,.311,.111,.285,.349,.281,.333,-0.041,-0.069,-0.049,88,10.1,36.7,7,2.6,3.7,36.3,65.4,10.8,42.9,57.1,42.7,20.2,30,
Santana, Carlos,467793,2021,318,384,15,.242,.412,.362,.774,91,.241,.460,.340,.358,.362,.219,.336,.361,.292,.292,.001,-0.047,-0.018,90.6,14.3,28.8,23,8.6,1.5,44.6,66.1,17.7,38.9,61.6,41.2,28.1,19.9,
Lowrie, Jed,476704,2021,314,347,11,.268,.430,.337,.767,90,.266,.487,.334,.354,.336,.221,.381,.409,.343,.341,.002,-0.057,-0.020,91.1,15.9,38.4,25,10.2,2,46.5,70.4,17.2,48.4,50.8,36.7,32.2,26.1,
Brantley Jr., Michael,488726,2021,295,318,6,.329,.485,.374,.859,73,.324,.490,.371,.376,.372,.166,.394,.399,.372,.369,.005,-0.005,-0.005,90.2,11,42.1,18,6.9,3.4,44.1,65.4,7.4,19.9,80.1,44.1,19.9,31.4,
